plate,low_channel,high_channel,gain_low,gain_high,is_afl_plate,status,plate_ratio,plate_offset,plate_scatter,plate_linear_max_rfu,plate_saturation_observed,plate_n_pairs,plate_n_overflow,bin_low_rfu,bin_high_rfu,n_pairs,departure_median,departure_p05,departure_p95,high_max_rfu
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,1000.0,2000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,2000.0,5000.0,8,0.999879462753102,0.9794698099342284,1.007905685887121,4262.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,5000.0,10000.0,2,1.0088693943417786,1.0048713561258777,1.0128674325576792,9766.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,10000.0,20000.0,3,1.0031312951972622,0.9946118909941146,1.003991515638373,19219.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,20000.0,30000.0,15,1.0052899406816789,0.9985810354361135,1.015909376528962,29906.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,30000.0,40000.0,37,1.0069298470179027,0.9985506425838374,1.017741605910318,38015.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,40000.0,50000.0,14,1.0045758472087098,0.9949356773603681,1.0108922652195809,49671.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,50000.0,60000.0,6,1.0041784088512267,0.9954909441452094,1.0136184750814856,54641.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,60000.0,70000.0,3,1.0076934790744014,1.0040907370079781,1.0156293261037144,69642.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,70000.0,80000.0,2,1.012332028578482,1.0070910735472456,1.0175729836097187,78464.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,80000.0,90000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,90000.0,95000.0,2,0.9954837462461481,0.9940068408242638,0.9969606516680324,93607.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,95000.0,98000.0,1,1.000289111356199,1.000289111356199,1.000289111356199,97285.0
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,98000.0,100000.0,0,,,,
20260707_oxidative_stress_preliminary,"mCitrine:480,530[2]","mCitrine:480,530[3]",75,100,False,scored,8.07881187949817,4.144525566276853,0.013427907719477217,38015.0,False,96,0,100000.0,inf,0,,,,
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,0.0,500.0,6209,1.027321280868724,0.9377748246859563,1.1368034265149494,499.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,500.0,1000.0,13,1.080859432236423,1.0166685136271718,1.209211141049018,521.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,1000.0,2000.0,0,,,,
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,2000.0,5000.0,366,0.9997665092975629,0.9739633469168854,1.027357249883152,3063.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,5000.0,10000.0,2,0.9888972917083234,0.9786853936696062,0.9991091897470405,9963.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,10000.0,20000.0,542,0.9997228730109483,0.9841100045527925,1.0147083982288854,19991.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,20000.0,30000.0,349,0.9993230201383988,0.9873315728731807,1.011910228381957,29936.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,30000.0,40000.0,488,0.9979787550508047,0.9877150004338077,1.0077042189491623,39978.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,40000.0,50000.0,372,0.9978729526836745,0.9878915467297206,1.0087414511371307,49979.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,50000.0,60000.0,376,0.9977424411909166,0.9886094842722801,1.0075932071882645,59951.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,60000.0,70000.0,228,0.9990392833741673,0.9886479765543819,1.0096492151177996,69864.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,70000.0,80000.0,86,1.003852357263943,0.9909589975148702,1.013000624348162,79693.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,80000.0,90000.0,81,1.0027515282199764,0.9905142312331926,1.0117560954592062,89916.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,90000.0,95000.0,40,1.00363231519774,0.9927276606762541,1.010536980542224,94891.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,95000.0,98000.0,26,1.0014366259527328,0.9944090099576797,1.0125971364235105,97720.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,98000.0,100000.0,16,1.0002879497676485,0.9936751008063045,1.0105423980811954,99998.0
20260708_ER_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.186194334366244,-26.58592424564398,0.021058672510405885,94891.0,False,9194,2518,100000.0,inf,2518,,,,-99999.0
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,0.0,500.0,784,0.9995404869259951,0.913439583077843,1.0994468872496208,494.0
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,500.0,1000.0,395,0.9979503152243743,0.9377178014445571,1.067806157782074,840.0
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,1000.0,2000.0,0,,,,
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,2000.0,5000.0,393,0.9990995345040263,0.9665891143809078,1.0320340492606335,2293.0
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,5000.0,10000.0,0,,,,
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,10000.0,20000.0,363,0.9998126666368976,0.9873850411542037,1.0130491532668813,19999.0
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,20000.0,30000.0,1553,0.9999874475171757,0.9878656323680578,1.0118556750474452,29999.0
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,30000.0,40000.0,1128,1.0007888540118486,0.9901184353830048,1.011748377903222,39997.0
20260712_AFL&control_2nd_AND_oxidative_stress_1st,"mCitrine:480,530","mCitrine:480,530[2]",75,100,False,scored,8.17536676300801,-13.205270139471844,0.026359228465088758,99994.0,False,11229,1347,40000.0,50000.0,1053,1.0012426596031951,0.9899791329690534,1.0127521818218128,49999.0
