construct,stressor,dose_mM,autofluorescence_fraction,fold,low,high,estimable,n_plates,verdict
NativeYap1,H2O2,0.2,0.3,1.0377956122442977,0.7650980158950059,1.317310158107141,True,4,INCONCLUSIVE
NativeYap1,H2O2,0.5,0.3,1.4466505711974587,1.0351415748572679,2.0102561768181335,True,4,DIFFERENT
NativeYap1,H2O2,1.0,0.3,1.3826433101109983,0.7162760523382437,2.4931221817575175,True,4,INCONCLUSIVE
NativeYap1,H2O2,2.0,0.3,,,,False,4,INCONCLUSIVE
NativeYap1,H2O2,4.0,0.3,0.03385108521645007,,,False,4,INCONCLUSIVE
UPRE1,DTT,0.1,0.3,1.0656918579850903,0.9846834880646764,1.1612175580308135,True,4,INCONCLUSIVE
UPRE1,DTT,0.2,0.3,1.1904860105167012,1.1209128658151069,1.2643120045403395,True,4,DIFFERENT
UPRE1,DTT,0.5,0.3,1.4234447343225387,1.263523392752068,1.6500143906508358,True,4,DIFFERENT
UPRE1,DTT,1.0,0.3,1.586182349952105,1.29638422037773,1.9119404445522785,True,4,DIFFERENT
UPRE1,DTT,2.0,0.3,1.2187467302863373,1.0123312826328357,1.4544099402310073,True,4,DIFFERENT
UPRE1,DTT,5.0,0.3,1.0629856241674245,0.8483153719095374,1.3340754219137756,True,4,INCONCLUSIVE
UPRE2,DTT,0.1,0.3,1.0844728554733336,0.9844927059258453,1.1905225822304668,True,4,INCONCLUSIVE
UPRE2,DTT,0.2,0.3,1.2092375792477545,1.0914775426852852,1.3078439351018765,True,4,DIFFERENT
UPRE2,DTT,0.5,0.3,1.493684128977698,1.1898254640233883,1.7496871543078982,True,4,DIFFERENT
UPRE2,DTT,1.0,0.3,1.7114209514973966,1.4237516210251973,2.0207304409646616,True,4,DIFFERENT
UPRE2,DTT,2.0,0.3,1.2700620903914634,1.0533211850859183,1.625088051298015,True,4,DIFFERENT
UPRE2,DTT,5.0,0.3,1.2239328869426565,1.0316156869687116,1.4676797021933337,True,4,DIFFERENT
