well,passed,failures,max_raw_od,min_od_above_blank,decline_fraction,od_fold_change,max_reporter_above_background
F2,True,,0.3865,0.10345066666666666,0.125,1.8342144480614084,2973.4466666666663
F3,True,,0.4072,0.11075066666666666,0.08333333333333333,2.553468599872036,3064.7799999999997
F4,True,,0.3815,0.09775066666666665,0.08333333333333333,2.5344662013397667,2932.6966666666663
F5,True,,0.378,0.10125066666666666,0.125,2.473356585208112,3026.0299999999997
F6,True,,0.3864,0.10445066666666666,0.08333333333333333,2.4455942998788394,3167.6133333333332
F7,False,sustained_decline,0.3386,0.11465066666666665,0.2916666666666667,1.8592011809002222,129.61333333333334
F8,False,sustained_decline,0.3328,0.10835066666666665,0.4166666666666667,1.9835872467410083,127.61333333333334
F9,False,sustained_decline,0.3383,0.11295066666666667,0.20833333333333334,1.9549929377781081,124.61333333333334
F10,False,sustained_decline,0.249,0.08845066666666665,0.2916666666666667,1.3105377169650938,104.61333333333334
F11,False,sustained_decline,0.3156,0.09735066666666667,0.3333333333333333,1.986217031087689,119.61333333333334
F12,False,sustained_decline,0.2446,0.09175066666666665,0.5,1.2887198748880542,114.61333333333334
G1,True,,0.3661,0.09835066666666667,0.125,1.8608331140609546,2306.3633333333332
G2,False,sustained_decline,0.3917,0.11075066666666666,0.25,2.3020325662046113,2474.6133333333332
G3,True,,0.3867,0.10675066666666666,0.08333333333333333,2.44959459308745,2679.6966666666663
G4,True,,0.4083,0.11205066666666666,0.125,2.455880524002985,2848.4466666666663
G5,True,,0.3701,0.09815066666666666,0.125,2.1610076100968936,2567.1133333333332
G6,False,sustained_decline,0.4126,0.12415066666666666,0.16666666666666666,2.173300768127259,2987.1966666666663
G7,False,sustained_decline,0.3147,0.08915066666666666,0.3333333333333333,2.166742792659663,97.61333333333334
G8,False,"sustained_decline,dynamic_range",0.2605,0.10525066666666666,0.375,1.1121217710386069,110.61333333333334
G9,False,sustained_decline,0.3389,0.11475066666666667,0.3333333333333333,1.9188924283263906,131.61333333333334
G10,False,sustained_decline,0.2895,0.07855066666666666,0.2916666666666667,2.2122844827586206,87.61333333333334
G11,False,sustained_decline,0.295,0.09305066666666667,0.25,1.9935989926283482,104.61333333333334
G12,False,sustained_decline,0.2222,0.09575066666666665,0.3333333333333333,1.2724203202537474,119.61333333333334
