late_fraction,construct,stressor,dose_mM,naive_fold,fold,low,high,n_plates,estimable
0.7,NativeYap1,H2O2,0.5,1.8023498380361374,1.390079694249674,1.0270415196146916,1.8675293788170464,4,True
0.7,NativeYap1,H2O2,1.0,1.5647757927153054,1.1739386461665762,0.6377074230543771,2.056033114502977,4,True
0.7,NativeYap1,H2O2,2.0,-0.19531193950745118,,,,4,False
0.7,NativeYap1,H2O2,4.0,-0.235149382429129,,,,4,False
0.7,UPRE1,DTT,0.1,1.0591528278608582,1.0514659668045507,0.9898272206008295,1.121341156322784,4,True
0.7,UPRE1,DTT,0.2,1.1565337391433628,1.155708034523159,1.1031483245677307,1.2089827907732251,4,True
0.7,UPRE1,DTT,0.5,1.4084445086487232,1.3626059539432798,1.2231868647436754,1.5714429344336043,4,True
0.7,UPRE1,DTT,1.0,1.8299388581117226,1.4586313509397089,1.2417821467746661,1.699513301251473,4,True
0.7,UPRE1,DTT,2.0,2.0199374688358462,1.0992073547564454,0.9625371782190986,1.2568050364382821,4,True
0.7,UPRE1,DTT,5.0,1.7658883817077713,0.9679872976490673,0.8257551238937338,1.1324264855203812,4,True
0.7,UPRE2,DTT,0.1,1.0714755769776374,1.0699469724013664,0.9846853821703023,1.156505222557631,4,True
0.7,UPRE2,DTT,0.2,1.14708214704753,1.170371357610606,1.0654176844477687,1.2562592784544366,4,True
0.7,UPRE2,DTT,0.5,1.4289392472275786,1.4226412658848955,1.1675141744701312,1.6280573640079312,4,True
0.7,UPRE2,DTT,1.0,1.9347022128454394,1.58401396678014,1.3358552636797476,1.8296247097774023,4,True
0.7,UPRE2,DTT,2.0,2.203694267176716,1.1578154735480821,1.0010672554990574,1.4370694770739985,4,True
0.7,UPRE2,DTT,5.0,2.0195260530624135,1.1056835345195555,0.9620503961305972,1.2879876688381187,4,True
0.75,AlteredYap1,H2O2,0.1,1.2802996241615867,1.0149848707343778,0.9388816555715881,1.1048138288981728,4,True
0.75,AlteredYap1,H2O2,0.2,1.4229464584494718,1.0713028063866992,0.9886361953288371,1.173916710975699,4,True
0.75,AlteredYap1,H2O2,0.5,1.6931120719187571,1.3714869067911106,1.059045652591057,1.7010767347227636,4,True
0.75,AlteredYap1,H2O2,1.0,1.5192695602307669,1.0010337765500255,,,4,False
0.75,AlteredYap1,H2O2,2.0,-0.14616332736893267,,,,4,False
0.75,AlteredYap1,H2O2,4.0,-0.18408903379896568,,,,4,False
0.75,NativeYap1,H2O2,0.1,1.2790436159902543,0.9180673472465278,0.7361073136104104,1.07836864745675,4,True
0.75,NativeYap1,H2O2,0.2,1.4265351439376168,1.0300369510845804,0.8015021655608019,1.2711245082838176,4,True
0.75,NativeYap1,H2O2,0.5,1.7832527473179516,1.3724337778103082,0.9961547578509913,1.8699450282252463,4,True
0.75,NativeYap1,H2O2,1.0,1.573808605035144,1.183264164696842,0.643785096654389,2.0594493051682843,4,True
0.75,NativeYap1,H2O2,2.0,-0.19676384804629066,0.00898411035109896,,,4,False
0.75,NativeYap1,H2O2,4.0,-0.2346614991163646,,,,4,False
0.75,UPRE1,DTT,0.1,1.059597986848474,1.0493438507858743,0.9867342523776558,1.122529485617351,4,True
0.75,UPRE1,DTT,0.2,1.1565813816279578,1.1537755731077446,1.095183489956136,1.211077356774031,4,True
0.75,UPRE1,DTT,0.5,1.4054841885538065,1.3542696460749852,1.2090118005104442,1.569263372162448,4,True
0.75,UPRE1,DTT,1.0,1.8267578975147611,1.4405487950938292,1.2224532569029671,1.6793509944537002,4,True
0.75,UPRE1,DTT,2.0,2.016953880207329,1.0587017365450464,0.9232983130665473,1.2129794468779316,4,True
0.75,UPRE1,DTT,5.0,1.7639558899311436,0.9342106077052286,0.7951263457334872,1.0903106513571765,4,True
0.75,UPRE2,DTT,0.1,1.0722511232133343,1.0673621482596103,0.9848948991012488,1.1543585941171763,4,True
0.75,UPRE2,DTT,0.2,1.1495809320248893,1.17076924162886,1.0684819090000914,1.254332543656633,4,True
0.75,UPRE2,DTT,0.5,1.4279953554375475,1.4159390901744104,1.137798562962084,1.6372393961194691,4,True
0.75,UPRE2,DTT,1.0,1.9307924334278668,1.5618930678959848,1.3042383130807709,1.8322538560554467,4,True
0.75,UPRE2,DTT,2.0,2.201323960564673,1.1056112520975805,0.9503346697615019,1.384364152271954,4,True
0.75,UPRE2,DTT,5.0,2.0203671222632145,1.063067915069896,0.9341918270298144,1.2328871108623118,4,True
0.8,AlteredYap1,H2O2,0.1,1.2611839123023683,0.9859146219559776,0.9035142832471258,1.0854023273632953,4,True
0.8,AlteredYap1,H2O2,0.2,1.3961654848208975,1.0254532395105074,0.9408114705113794,1.135183441908337,4,True
0.8,AlteredYap1,H2O2,0.5,1.6620134515063816,1.352038847486464,1.0404980844462426,1.7142598798821749,4,True
0.8,AlteredYap1,H2O2,1.0,1.5239389365227949,1.030817757546356,,,4,False
0.8,AlteredYap1,H2O2,2.0,-0.1476086110078367,0.024956298582601167,,,4,False
0.8,AlteredYap1,H2O2,4.0,-0.18337567247505304,0.009672483112811402,,,4,False
0.8,NativeYap1,H2O2,0.1,1.25707097437616,0.9097670184910003,0.7136124530192153,1.0811398911239183,4,True
0.8,NativeYap1,H2O2,0.2,1.3981378295912934,1.0131467283243996,0.7788305262575724,1.2630349472529565,4,True
0.8,NativeYap1,H2O2,0.5,1.7444030542349973,1.3377620460185518,0.9522290049281167,1.8829091292185396,4,True
0.8,NativeYap1,H2O2,1.0,1.5866887962315686,1.2419861445709683,0.6961900113150897,2.0760113197943304,4,True
0.8,NativeYap1,H2O2,2.0,-0.19963379895928016,0.031547389028198605,,,4,False
0.8,NativeYap1,H2O2,4.0,-0.23772789346213696,,,,4,False
0.8,UPRE1,DTT,0.1,1.0603282204195261,1.0426519333807622,0.9792564354764698,1.1202793342422002,4,True
0.8,UPRE1,DTT,0.2,1.1577478789869566,1.1577640147384507,1.0892717429451257,1.228315398464595,4,True
0.8,UPRE1,DTT,0.5,1.4008065182716354,1.3538614365946962,1.1963994895255985,1.5652267131085202,4,True
0.8,UPRE1,DTT,1.0,1.8171435255064552,1.4111370245417953,1.1856135214618748,1.6363685943367223,4,True
0.8,UPRE1,DTT,2.0,2.0073796113310087,0.9905701329723949,0.8555016241792326,1.1393051894378385,4,True
0.8,UPRE1,DTT,5.0,1.7547077088241585,0.8794780829963922,0.7359554943897244,1.0362094164693296,4,True
0.8,UPRE2,DTT,0.1,1.073365280065699,1.0608791192879643,0.9857740478678728,1.1451087120819372,4,True
0.8,UPRE2,DTT,0.2,1.1533248672294476,1.1705959988824932,1.0649422790241199,1.258122882550797,4,True
0.8,UPRE2,DTT,0.5,1.4265005986533397,1.422580233907975,1.124602772045086,1.6662414233251388,4,True
0.8,UPRE2,DTT,1.0,1.9184923038043546,1.5368497079216858,1.2447357634948557,1.8596771234129281,4,True
0.8,UPRE2,DTT,2.0,2.1881228635171537,1.0062765583012323,0.8393140786324379,1.3125508988828192,4,True
0.8,UPRE2,DTT,5.0,2.012257043486163,0.9946270959742016,0.8728344260402301,1.1596178987968515,4,True
0.9,AlteredYap1,H2O2,0.1,1.2408863523455735,0.9543744355776528,0.8478907013630161,1.0756243170676474,4,True
0.9,AlteredYap1,H2O2,0.2,1.3683620705007735,0.982888974838844,0.8729782692989918,1.1160617671380069,4,True
0.9,AlteredYap1,H2O2,0.5,1.626704584238611,1.341852171200674,1.0484598624419257,1.7076567353857925,4,True
0.9,AlteredYap1,H2O2,1.0,1.5161020171433583,1.1048568075589422,,,4,False
0.9,AlteredYap1,H2O2,2.0,-0.14801919785799464,0.017103239277762146,,,4,False
0.9,AlteredYap1,H2O2,4.0,-0.1840886339445947,0.05858899172962025,,,4,False
0.9,NativeYap1,H2O2,0.1,1.236814387837281,0.8813075899953065,0.6548311083139375,1.0839635910818093,4,True
0.9,NativeYap1,H2O2,0.2,1.369319893676454,0.9717909494993416,0.7684925803639475,1.1915737803160298,4,True
