experiment,plate,truncation,n_timepoints,run_hours,activity_window_h,late_window_start_h,strain,strain_source,well_columns,galactose_percent,n_wells,naive_rfu_per_od,corrected_activity,mu_late
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-Gal,notebook,7-9,0.0,3,2631.5033428781003,-79.6244229436878,0.0028807553076088343
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-Gal,notebook,7-9,0.3,3,2404.158755393611,-30.349906408731197,0.002688880386914233
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-Gal,notebook,7-9,0.6,3,2717.4737828976135,16.48284103299069,0.006906258053841889
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-Gal,notebook,7-9,0.9,3,2657.4867402009145,83.20545557782744,0.0172775496802323
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-Gal,notebook,7-9,1.2,3,2656.5328611199,134.0867937996161,0.02410459699624511
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-Gal,notebook,7-9,1.5,3,2402.1399262527325,188.37988553349567,0.029402984933920295
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-Gal,notebook,7-9,1.8,3,2714.169382838176,320.2876764846383,0.031110596785654632
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-LacI,notebook,10-12,0.0,3,3008.5314462131414,-111.78316974442187,0.001638540526639784
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-LacI,notebook,10-12,0.3,3,2249.942764588411,-38.46375234551575,0.0036387836041453145
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-LacI,notebook,10-12,0.6,3,2005.151228032606,-0.8127900424256188,0.008361324143588372
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-LacI,notebook,10-12,0.9,3,1820.360570206931,35.46778732487627,0.01632925437895957
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-LacI,notebook,10-12,1.2,3,1744.739561537579,43.736470054264124,0.02242967743151365
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-LacI,notebook,10-12,1.5,3,1290.1776795680516,54.41940168580208,0.03129032678767807
AFL-debugging,20260802_AFL-debugging_1st,as-run,121,20.124,3.333,15.124,No-LacI,notebook,10-12,1.8,3,1258.161186277019,84.8238110893828,0.03530699302328583
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,0.0,3,126.63973482993133,-0.9549596572490159,0.0031490506939943277
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,0.3,3,119.34735739558347,0.44603207629804836,0.004275940767024048
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,0.6,3,117.07319734188503,0.1003373184383416,0.010006303500139075
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,0.9,3,106.07429294404943,0.4046523536189497,0.021231412179354384
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,1.2,3,86.45701583570587,2.779842218455293,0.03225662028892433
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,1.5,3,81.76008028000662,6.3994114891049705,0.03738689855732667
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,AFL,notebook,1-3,1.8,3,136.2897732070745,13.523468458656424,0.044388238734244724
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,0.0,3,326.06362820846175,-14.309006855751575,0.004635403342990664
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,0.3,3,329.10243774087337,-9.727794739282528,0.0032368144560276403
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,0.6,3,340.6236031227597,-5.802816656420165,0.004942894843634881
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,0.9,3,334.33800206973393,0.1631496326065206,0.01241958098044055
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,1.2,3,332.91986289449073,7.986894452400956,0.02150028655376049
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,1.5,3,285.5533648178883,11.736073500951639,0.034518029214230916
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,Control,notebook,4-6,1.8,3,278.7189953921941,18.79513226216109,0.044873610695951645
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.0,3,2822.063503943325,-132.51040779425713,0.003989322602653752
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.3,3,2490.3399910596877,-55.54102370106952,0.003036780550635118
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.6,3,2735.858371505045,-0.3920279426270241,0.006596207721664728
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,0.9,3,2608.48981646974,67.63185433258683,0.017397795059719886
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.2,3,2550.779744909821,119.53575150011538,0.027072156216564513
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.5,3,2215.3985869032863,172.84196526532742,0.03583334015128408
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-Gal,notebook,7-9,1.8,3,2315.1133787983567,303.34688427035854,0.04111552148997685
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.0,3,3263.4953024163497,-171.4463066996285,0.0037000794559155677
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.3,3,2352.887070266525,-61.87252616870021,0.0044542893693470115
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.6,3,2046.3562562320587,-15.151116146885977,0.008053879166607094
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,0.9,3,1819.1544632457633,26.238835526226953,0.01573589395760896
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.2,3,1738.870482171292,41.88839578024608,0.02347914066774684
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.5,3,1269.004410280928,53.742926451372064,0.03574271127614453
AFL-debugging,20260802_AFL-debugging_1st,first-109,109,18.124,3.0,13.624,No-LacI,notebook,10-12,1.8,3,1190.0759452730865,91.48420144160495,0.047018311712689755
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,0.0,3,133.3250354066973,-0.8128898476086833,0.0027926266677431658
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,0.3,3,126.35682382762569,-0.047033871757015754,0.004969666817058919
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,0.6,3,119.85587520481393,0.7317321440141007,0.009689463821892591
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,0.9,3,109.45533780359881,-0.2529877753165623,0.01964480888834831
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,1.2,3,92.57119497952199,2.0606909664529307,0.033495453615616406
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,1.5,3,84.146235969339,7.124130074996155,0.041935601831997626
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,AFL,notebook,1-3,1.8,3,138.57886678571165,13.53346417666229,0.05300312005576297
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,Control,notebook,4-6,0.0,3,261.34797810058666,-7.014749101918277,0.011562543680384103
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,Control,notebook,4-6,0.3,3,216.5080406109279,-4.691696251107325,0.004992130431568049
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,Control,notebook,4-6,0.6,3,198.46825026297483,-0.2059895284209611,0.008136894058750585
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,Control,notebook,4-6,0.9,3,177.14235147901118,3.4375669552660977,0.016241527167665814
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,Control,notebook,4-6,1.2,3,150.58610457284706,4.492765583220874,0.029252839512592294
AFL-debugging,20260803_AFL-debugging_2nd,as-run,109,18.124,3.0,13.624,Control,notebook,4-6,1.5,3,136.43218433208926,10.91485181906605,0.04275901729327138
