well,dilution_r2,dilution_slope,qss_fraction,naive_fold,activity_fold,negative_activity_fraction,implied_min_k_deg,excess_loss_rate,mu_min,mu_max,verdict
C8,,,0.04,5.929926446937767,0.5409543639248237,0.0,0.0,0.0,0.2001592439806752,0.5043811688644106,not-estimable
C9,,,0.0,4.821046504845315,0.43141351071646517,0.0,0.0,0.0,0.1770601706554152,0.4821239883448757,not-estimable
D7,,,0.0,6.18806146119765,1.2908282956811405,0.0,0.0,0.0,0.3011955190131104,0.43180493138799014,not-estimable
D8,,,0.16,5.155989006701542,0.6805757711816522,0.0,0.0,0.0,-0.010023992451137005,1.3988566022221098,not-estimable
D9,,,0.12,4.450280938983648,1.942505873689557,0.04,0.0,0.0,0.0104662037551528,0.9723103582787418,not-estimable
E9,,,0.08,9.89042996809195,,0.08,1.6811966065197963,1.6811966065197963,-0.04707393759009556,0.7583242941598958,not-estimable
A10,0.36267892479284314,8.57990615715326,0.32,13.18588912557151,0.9881573202131009,0.0,0.0,0.0,0.18859315877540414,0.605664127787289,mixed
A11,0.06560395109589079,-1.1357764080184432,0.4,7.8763092313415175,0.8055482783308939,0.0,0.0,0.0,0.18605502629854792,0.7624056973926562,mixed
A12,0.9522021262960467,4.574488852035056,0.2,5.253634991964316,0.8234145576743825,0.0,0.0,0.0,0.2018438158613202,0.6441774213644048,dilution-dominated
B10,,,0.16,12.148284210762741,0.972996802460769,0.04,0.0,0.0,0.18852257138907677,0.5181854095731999,not-estimable
B11,,,0.0,8.333734201185669,0.8447964054540182,0.0,0.0,0.0,0.20513628777675302,0.494194419005539,not-estimable
B12,0.33928011644996714,-9.052183851493844,0.28,16.888808448531048,0.8037567264145357,0.0,0.0,0.0,0.20462569106446052,0.54087051793718,mixed
C10,0.9906746121488896,16.79357864526839,0.2,6.487693865336925,0.5322206179750705,0.0,0.0,0.0,0.18787803104611314,0.5417717810532836,dilution-dominated
C11,,,0.0,10.249172449934388,0.6857488437820567,0.0,0.0,0.0,0.1892503064849458,0.4861725105485778,not-estimable
C12,,,0.12,6.855594072624906,0.6744734511802107,0.04,0.0,0.0,0.117461116148237,0.5326754211992204,not-estimable
D11,,,0.0,18.977055108341933,1.6172500294372096,0.0,0.0,0.0,0.26365438134984387,0.4091550357413576,not-estimable
E11,,,0.0,,,0.08,4.571650300028112,4.571650300028112,0.03766163553268427,0.4492038585673884,not-estimable
