well,dilution_r2,dilution_slope,qss_fraction,naive_fold,activity_fold,negative_activity_fraction,implied_min_k_deg,excess_loss_rate,mu_min,mu_max,verdict
E6,,,0.0,2.173880728602461,5.592872714787687,0.04,0.15427485862512813,0.15427485862512813,0.24807345415431728,0.4003452414501625,not-estimable
F4,,,0.0,3.3593138549026333,,0.08,1.2988957747580132,1.2988957747580132,-0.5502127097070207,0.19002741160428674,not-estimable
F5,,,0.0,2.9151039916175496,,0.08,0.4769710525250256,0.4769710525250256,-0.4348974584937134,0.30371218696245483,not-estimable
F6,,,0.12,3.063132192402342,2.745013338787281,0.04,0.14209866405091987,0.14209866405091987,0.09596449383616493,0.7358450076595155,not-estimable
G4,,,0.12,2.746162979701767,4.655071997196099,0.04,0.22194855015932025,0.22194855015932025,0.027458698634022914,0.8557980987221278,not-estimable
G5,,,0.12,3.053932592513671,1.3219888651614813,0.0,0.0,0.0,0.05866331999737664,0.677068492002307,not-estimable
G6,,,0.0,3.059366139562636,8.10708683275894,0.04,0.07047333126505051,0.07047333126505051,0.05317988282024496,0.29990600479737484,not-estimable
A7,0.7143429734469888,1.3228990474244338,0.2,2.1812900641667343,1.0190753358447522,0.0,0.0,0.0,0.3553075775775705,0.7807002475048472,mixed
A8,,,0.16,2.022349007737785,13.925437683215812,0.04,0.5382356575818238,0.5382356575818238,0.4096487349662467,0.6918633833188818,not-estimable
A9,0.9003474808110306,2.012054485224039,0.32,2.2641520778566426,1.1449791071422086,0.0,0.0,0.0,0.39621320809971416,0.6552889132796524,dilution-dominated
B7,0.7781594279955533,0.10291369271898762,0.2,2.161596633170196,0.9202226842647474,0.04,0.0,0.0,0.13908180670991083,1.4466099855791128,dilution-dominated
C7,0.3889869138941533,0.33132857153861495,0.2,2.591902369486381,0.559707659270404,0.0,0.0,0.0,0.11125709563966102,1.5767771905008594,mixed
A10,,,0.16,1.481999555425786,1.85982710767488,0.0,0.0,0.0,0.383087625665141,0.5557671003321775,not-estimable
A11,,,0.16,1.5545779976833116,1.6327056512981124,0.0,0.0,0.0,0.3935314753474397,0.5873523393898349,not-estimable
A12,0.5601470995472839,-1.0372651383299536,0.32,1.63203828918817,1.8128666021377942,0.12,0.15404948856002731,0.15404948856002731,0.2694167900237454,0.7177426646249284,mixed
B11,,,0.16,1.7665097694577472,0.8959368970755046,0.0,0.0,0.0,0.2433439625659862,1.2717059581732322,not-estimable
B12,0.6514454137516059,1.0047609696523372,0.4,1.927756539162469,0.30424977390579533,0.0,0.0,0.0,0.27374867595653135,0.8747032498824248,mixed
C11,,,0.16,1.9486534554652681,0.679565454447778,0.0,0.0,0.0,0.11125454592252128,1.60409682720712,not-estimable
C12,0.8278864934956465,2.4703042511064104,0.24,1.753129788640581,0.930799338930319,0.0,0.0,0.0,0.36328971714736075,0.6733296265673577,dilution-dominated
D10,0.4673572184030248,0.20976046912635135,0.28,2.3621492985438963,0.6805988020759318,0.0,0.0,0.0,0.0962904887588719,1.3170057442273169,mixed
D12,,,0.0,2.4251481565732704,1.3559142198832304,0.0,0.0,0.0,0.33008801470094545,0.39167408696703104,not-estimable
