check,expected,actual,status,detail
number claimed in README.md:76 = 1.37 (outputs/late_window_sensitivity.csv[fold]),1.37,1.3712,PASS,outputs/late_window_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:84 = 1.30 (outputs/late_window_sensitivity.csv[low]),1.30,1.30466,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE2; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:84 = 1.83 (outputs/late_window_sensitivity.csv[high]),1.83,1.83216,PASS,outputs/late_window_sensitivity.csv[high] where construct=UPRE2; stressor=DTT; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:85 = 1.00 (outputs/late_window_sensitivity.csv[fold]),1.00,0.999732,PASS,outputs/late_window_sensitivity.csv[fold] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:86 = 0.24 (outputs/late_window_sensitivity.csv[low]),0.24,0.235264,PASS,outputs/late_window_sensitivity.csv[low] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:86 = 2.50 (outputs/late_window_sensitivity.csv[high]),2.50,2.5022,PASS,outputs/late_window_sensitivity.csv[high] where construct=AlteredYap1; stressor=H2O2; dose_mM=1.0; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:100 = 1.14 (outputs/late_window_sensitivity.csv[low]),1.14,1.13795,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE2; stressor=DTT; dose_mM=0.5; late_fraction=0.75 (tolerance 0.005)
number claimed in README.md:135 = 1.046 (outputs/late_window_sensitivity.csv[low]),1.046,1.04623,PASS,outputs/late_window_sensitivity.csv[low] where construct=UPRE2; stressor=DTT; dose_mM=0.2; late_fraction=0.9 (tolerance 0.0005)
number claimed in docs/ARCHITECTURE.md:848 = 1.3584 (outputs/gem_environment_predictions.csv[ethanol_over_glucose]),1.3584,1.3584,PASS,outputs/gem_environment_predictions.csv[ethanol_over_glucose] where product=phb; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in docs/ARCHITECTURE.md:858 = 1.7237 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),1.7237,1.7237,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=mu only (tolerance 5e-05)
number claimed in docs/ARCHITECTURE.md:859 = 1.4683 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),1.4683,1.4683,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=log GEM max (tolerance 5e-05)
number claimed in docs/ARCHITECTURE.md:860 = 2.1942 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),2.1942,2.1942,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=GEM carbon contrast (tolerance 5e-05)
number claimed in docs/ARCHITECTURE.md:861 = 1.3439 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),1.3439,1.3439,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=z empirical (tolerance 5e-05)
number claimed in docs/ARCHITECTURE.md:863 = -0.8190 (outputs/gem_environment_scores.csv[corr_with_log_mu]),-0.8190,-0.819,PASS,outputs/gem_environment_scores.csv[corr_with_log_mu] where law=log GEM max (tolerance 5e-05)
number claimed in docs/ARCHITECTURE.md:865 = 0.3656 (outputs/gem_environment_scores.csv[corr_with_log_content]),0.3656,0.3656,PASS,outputs/gem_environment_scores.csv[corr_with_log_content] where law=GEM carbon contrast (tolerance 5e-05)
