check,expected,actual,status,detail
number claimed in src/ystwin/pathway/environment_flux.py:17 = 16.55 (outputs/environment_channel.csv[test_mg_per_gdw]),16.55,16.55,PASS,outputs/environment_channel.csv[test_mg_per_gdw] where growth_rate_per_h=0.05; carbon_source=ethanol (tolerance 0.005)
number claimed in src/ystwin/pathway/environment_flux.py:18 = 3.822 (outputs/environment_channel.csv[fold_vs_glucose]),3.822,3.8222,PASS,outputs/environment_channel.csv[fold_vs_glucose] where growth_rate_per_h=0.05; carbon_source=ethanol (tolerance 0.0005)
number claimed in src/ystwin/pathway/environment_flux.py:19 = 63.96 (outputs/environment_channel.csv[separation_sd]),63.96,63.96,PASS,outputs/environment_channel.csv[separation_sd] where growth_rate_per_h=0.05; carbon_source=ethanol (tolerance 0.005)
number claimed in src/ystwin/pathway/environment_flux.py:26 = 3.822 (outputs/environment_channel.csv[fold_vs_glucose]),3.822,3.8222,PASS,outputs/environment_channel.csv[fold_vs_glucose] where growth_rate_per_h=0.05; carbon_source=ethanol (tolerance 0.0005)
number claimed in src/ystwin/pathway/environment_flux.py:27 = 2.413 (outputs/environment_channel.csv[fold_vs_glucose]),2.413,2.4132,PASS,outputs/environment_channel.csv[fold_vs_glucose] where growth_rate_per_h=0.1; carbon_source=ethanol (tolerance 0.0005)
number claimed in src/ystwin/pathway/environment_flux.py:28 = 0.892 (outputs/environment_channel.csv[fold_vs_glucose]),0.892,0.8923,PASS,outputs/environment_channel.csv[fold_vs_glucose] where growth_rate_per_h=0.15; carbon_source=ethanol (tolerance 0.0005)
number claimed in src/ystwin/pathway/environment_flux.py:29 = 0.816 (outputs/environment_channel.csv[fold_vs_glucose]),0.816,0.8157,PASS,outputs/environment_channel.csv[fold_vs_glucose] where growth_rate_per_h=0.2; carbon_source=glucose_ethanol_1to2 (tolerance 0.0005)
number claimed in src/ystwin/pathway/environment_flux.py:34 = 1.6452 (outputs/environment_law_scores.csv[loo_median_fold_error]),1.6452,1.6452,PASS,outputs/environment_law_scores.csv[loo_median_fold_error] where law=content constant (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:35 = 1.5052 (outputs/environment_law_scores.csv[loo_median_fold_error]),1.5052,1.5052,PASS,outputs/environment_law_scores.csv[loo_median_fold_error] where law=mu only (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:36 = 1.3438 (outputs/environment_law_scores.csv[loo_median_fold_error]),1.3438,1.3438,PASS,outputs/environment_law_scores.csv[loo_median_fold_error] where law=z only (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:37 = 1.4407 (outputs/environment_law_scores.csv[loo_median_fold_error]),1.4407,1.4407,PASS,outputs/environment_law_scores.csv[loo_median_fold_error] where law=mu + z (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:38 = 1.3201 (outputs/environment_law_scores.csv[loo_median_fold_error]),1.3201,1.3201,PASS,outputs/environment_law_scores.csv[loo_median_fold_error] where law=mu + z + mu*z (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:47 = 1.7237 (outputs/environment_law_scores.csv[loco_median_fold_error]),1.7237,1.7237,PASS,outputs/environment_law_scores.csv[loco_median_fold_error] where law=mu only (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:47 = 4.4928 (outputs/environment_law_scores.csv[loco_worst_fold_error]),4.4928,4.4928,PASS,outputs/environment_law_scores.csv[loco_worst_fold_error] where law=mu only (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:48 = 1.3439 (outputs/environment_law_scores.csv[loco_median_fold_error]),1.3439,1.3439,PASS,outputs/environment_law_scores.csv[loco_median_fold_error] where law=z only (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:48 = 2.3235 (outputs/environment_law_scores.csv[loco_worst_fold_error]),2.3235,2.3235,PASS,outputs/environment_law_scores.csv[loco_worst_fold_error] where law=z only (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:49 = 1.4748 (outputs/environment_law_scores.csv[loco_median_fold_error]),1.4748,1.4748,PASS,outputs/environment_law_scores.csv[loco_median_fold_error] where law=mu + z (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:49 = 5.4435 (outputs/environment_law_scores.csv[loco_worst_fold_error]),5.4435,5.4435,PASS,outputs/environment_law_scores.csv[loco_worst_fold_error] where law=mu + z (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:50 = 1.4564 (outputs/environment_law_scores.csv[loco_median_fold_error]),1.4564,1.4564,PASS,outputs/environment_law_scores.csv[loco_median_fold_error] where law=mu + z + mu*z (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:50 = 5.6051 (outputs/environment_law_scores.csv[loco_worst_fold_error]),5.6051,5.6051,PASS,outputs/environment_law_scores.csv[loco_worst_fold_error] where law=mu + z + mu*z (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:87 = 0.1667 (outputs/environment_law_scores.csv[permutation_floor]),0.1667,0.1667,PASS,outputs/environment_law_scores.csv[permutation_floor] where law=z only (tolerance 5e-05)
number claimed in src/ystwin/pathway/environment_flux.py:88 = 0.1667 (outputs/environment_law_scores.csv[permutation_p]),0.1667,0.1667,PASS,outputs/environment_law_scores.csv[permutation_p] where law=z only (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:18 = 1.3584 (outputs/gem_environment_predictions.csv[ethanol_over_glucose]),1.3584,1.3584,PASS,outputs/gem_environment_predictions.csv[ethanol_over_glucose] where product=phb; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:35 = 1.7237 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),1.7237,1.7237,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=mu only (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:36 = 1.4683 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),1.4683,1.4683,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=log GEM max (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:37 = 2.1942 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),2.1942,2.1942,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=GEM carbon contrast (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:38 = 1.3439 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),1.3439,1.3439,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=z empirical (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:41 = -0.8190 (outputs/gem_environment_scores.csv[corr_with_log_mu]),-0.8190,-0.819,PASS,outputs/gem_environment_scores.csv[corr_with_log_mu] where law=log GEM max (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:45 = 0.3656 (outputs/gem_environment_scores.csv[corr_with_log_content]),0.3656,0.3656,PASS,outputs/gem_environment_scores.csv[corr_with_log_content] where law=GEM carbon contrast (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:46 = 0.5801 (outputs/gem_environment_scores.csv[corr_with_log_content]),0.5801,0.5801,PASS,outputs/gem_environment_scores.csv[corr_with_log_content] where law=z empirical (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:55 = 1.2362 (outputs/gem_environment_predictions.csv[ratio_low]),1.2362,1.2362,PASS,outputs/gem_environment_predictions.csv[ratio_low] where product=beta_carotene; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:55 = 1.9505 (outputs/gem_environment_predictions.csv[ratio_high]),1.9505,1.9505,PASS,outputs/gem_environment_predictions.csv[ratio_high] where product=beta_carotene; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:57 = 1.3138 (outputs/gem_environment_predictions.csv[ratio_low]),1.3138,1.3138,PASS,outputs/gem_environment_predictions.csv[ratio_low] where product=phb; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:57 = 2.3472 (outputs/gem_environment_predictions.csv[ratio_high]),2.3472,2.3472,PASS,outputs/gem_environment_predictions.csv[ratio_high] where product=phb; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:59 = 0.8504 (outputs/gem_environment_predictions.csv[ratio_low]),0.8504,0.8504,PASS,outputs/gem_environment_predictions.csv[ratio_low] where product=glycogen; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:59 = 1.6323 (outputs/gem_environment_predictions.csv[ratio_high]),1.6323,1.6323,PASS,outputs/gem_environment_predictions.csv[ratio_high] where product=glycogen; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:74 = 4 (outputs/gem_environment_predictions.csv[points_feasible]),4,4,PASS,outputs/gem_environment_predictions.csv[points_feasible] where product=phb; growth_rate_per_h=0.15 (tolerance 0.5)
number claimed in src/ystwin/pathway/gem_environment.py:75 = 6 (outputs/gem_environment_predictions.csv[points_requested]),6,6,PASS,outputs/gem_environment_predictions.csv[points_requested] where product=phb; growth_rate_per_h=0.15 (tolerance 0.5)
number claimed in src/ystwin/pathway/gem_environment.py:77 = 3.0139 (outputs/gem_environment_predictions.csv[ethanol_over_glucose]),3.0139,3.0139,PASS,outputs/gem_environment_predictions.csv[ethanol_over_glucose] where product=phb; growth_rate_per_h=0.15 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:79 = 1.3584 (outputs/gem_environment_predictions.csv[ethanol_over_glucose]),1.3584,1.3584,PASS,outputs/gem_environment_predictions.csv[ethanol_over_glucose] where product=phb; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:81 = 0.146891 (outputs/gem_environment_predictions.csv[glucose_max_mmol_per_gdcw_h]),0.146891,0.146891,PASS,outputs/gem_environment_predictions.csv[glucose_max_mmol_per_gdcw_h] where product=phb; growth_rate_per_h=0.15 (tolerance 5e-07)
number claimed in src/ystwin/pathway/gem_environment.py:82 = 1.537439 (outputs/gem_environment_predictions.csv[glucose_max_mmol_per_gdcw_h]),1.537439,1.53744,PASS,outputs/gem_environment_predictions.csv[glucose_max_mmol_per_gdcw_h] where product=phb; growth_rate_per_h=0.05 (tolerance 5e-07)
number claimed in src/ystwin/pathway/gem_environment.py:105 = 1.3212 (outputs/gem_environment_formulation.csv[ratio_precursor_sink]),1.3212,1.3212,PASS,outputs/gem_environment_formulation.csv[ratio_precursor_sink] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:105 = 1.606 (outputs/gem_environment_formulation.csv[ratio_precursor_sink]),1.606,1.606,PASS,outputs/gem_environment_formulation.csv[ratio_precursor_sink] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.2 (tolerance 0.0005)
number claimed in src/ystwin/pathway/gem_environment.py:107 = 1.4001 (outputs/gem_environment_formulation.csv[ratio_full_pathway]),1.4001,1.4001,PASS,outputs/gem_environment_formulation.csv[ratio_full_pathway] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:107 = 1.5818 (outputs/gem_environment_formulation.csv[ratio_full_pathway]),1.5818,1.5818,PASS,outputs/gem_environment_formulation.csv[ratio_full_pathway] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.2 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:108 = 1.0597 (outputs/gem_environment_formulation.csv[full_over_sink]),1.0597,1.0597,PASS,outputs/gem_environment_formulation.csv[full_over_sink] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:139 = 1.2384 (outputs/gem_environment_predictions.csv[ethanol_over_glucose]),1.2384,1.2384,PASS,outputs/gem_environment_predictions.csv[ethanol_over_glucose] where product=beta_carotene; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:140 = 1.2362 (outputs/gem_environment_predictions.csv[ratio_low]),1.2362,1.2362,PASS,outputs/gem_environment_predictions.csv[ratio_low] where product=beta_carotene; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:140 = 1.9505 (outputs/gem_environment_predictions.csv[ratio_high]),1.9505,1.9505,PASS,outputs/gem_environment_predictions.csv[ratio_high] where product=beta_carotene; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:627 = 2.1942 (outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error]),2.1942,2.1942,PASS,outputs/gem_environment_scores.csv[leave_one_carbon_source_out_fold_error] where law=GEM carbon contrast (tolerance 5e-05)
number claimed in src/ystwin/predict.py:369 = 0.0041 (outputs/content_band_coverage.csv[share_alpha]),0.0041,0.0041,PASS,outputs/content_band_coverage.csv[share_alpha] where growth_rate_per_h=0.101 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:370 = 0.9619 (outputs/content_band_coverage.csv[share_crtyb_capacity]),0.9619,0.9619,PASS,outputs/content_band_coverage.csv[share_crtyb_capacity] where growth_rate_per_h=0.101 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:371 = 0.0607 (outputs/content_band_coverage.csv[share_alpha]),0.0607,0.0607,PASS,outputs/content_band_coverage.csv[share_alpha] where growth_rate_per_h=0.254 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:371 = 0.7151 (outputs/content_band_coverage.csv[share_crtyb_capacity]),0.7151,0.7151,PASS,outputs/content_band_coverage.csv[share_crtyb_capacity] where growth_rate_per_h=0.254 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:373 = 9.1086 (outputs/content_band_coverage.csv[flux_only_too_narrow_by]),9.1086,9.1086,PASS,outputs/content_band_coverage.csv[flux_only_too_narrow_by] where growth_rate_per_h=0.101 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:374 = 2.4787 (outputs/content_band_coverage.csv[flux_only_too_narrow_by]),2.4787,2.4787,PASS,outputs/content_band_coverage.csv[flux_only_too_narrow_by] where growth_rate_per_h=0.254 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:379 = 1.0152 (outputs/content_band_coverage.csv[with_kinetics_over_truth]),1.0152,1.0152,PASS,outputs/content_band_coverage.csv[with_kinetics_over_truth] where growth_rate_per_h=0.101 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:380 = 0.9538 (outputs/content_band_coverage.csv[with_kinetics_over_truth]),0.9538,0.9538,PASS,outputs/content_band_coverage.csv[with_kinetics_over_truth] where growth_rate_per_h=0.15 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:381 = 0.8481 (outputs/content_band_coverage.csv[with_kinetics_over_truth]),0.8481,0.8481,PASS,outputs/content_band_coverage.csv[with_kinetics_over_truth] where growth_rate_per_h=0.2 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:381 = 0.7204 (outputs/content_band_coverage.csv[with_kinetics_over_truth]),0.7204,0.7204,PASS,outputs/content_band_coverage.csv[with_kinetics_over_truth] where growth_rate_per_h=0.254 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:397 = 1.1904 (outputs/content_band_coverage.csv[independent_over_joint]),1.1904,1.1904,PASS,outputs/content_band_coverage.csv[independent_over_joint] where growth_rate_per_h=0.101 (tolerance 5e-05)
number claimed in src/ystwin/predict.py:397 = 1.8795 (outputs/content_band_coverage.csv[independent_over_joint]),1.8795,1.8795,PASS,outputs/content_band_coverage.csv[independent_over_joint] where growth_rate_per_h=0.254 (tolerance 5e-05)
number claimed in scripts/maintenance_scale.py:17 = 0.004642 (outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp]),0.004642,0.004642,PASS,outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 5e-07)
number claimed in scripts/maintenance_scale.py:20 = 0.000 (outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h]),0.000,0,PASS,outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.0005)
number claimed in scripts/maintenance_scale.py:27 = 15.923 (outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h]),15.923,15.923,PASS,outputs/maintenance_scale.csv[ethanol_at_zero_ngam_mmol_per_gdcw_h] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in scripts/maintenance_scale.py:28 = 0.010778 (outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp]),0.010778,0.010778,PASS,outputs/maintenance_scale.csv[ngam_slope_per_h_per_mmol_atp] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in scripts/maintenance_scale.py:29 = 2.322 (outputs/maintenance_scale.csv[slope_ratio_to_oxygen_unlimited]),2.322,2.322,PASS,outputs/maintenance_scale.csv[slope_ratio_to_oxygen_unlimited] where glucose_lower_bound_mmol_per_gdcw_h=-11.1; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in scripts/maintenance_scale.py:38 = 0.006105 (outputs/maintenance_scale.csv[slope_at_top_probe_per_h_per_mmol_atp]),0.006105,0.006105,PASS,outputs/maintenance_scale.csv[slope_at_top_probe_per_h_per_mmol_atp] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in scripts/maintenance_scale.py:39 = 0.510426 (outputs/maintenance_scale.csv[ngam_slope_spread_relative]),0.510426,0.510426,PASS,outputs/maintenance_scale.csv[ngam_slope_spread_relative] where glucose_lower_bound_mmol_per_gdcw_h=-1.5; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in scripts/maintenance_scale.py:47 = 0.0 (outputs/maintenance_scale.csv[ngam_slope_spread_relative]),0.0,0,PASS,outputs/maintenance_scale.csv[ngam_slope_spread_relative] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.05)
number claimed in scripts/maintenance_scale.py:49 = 0.048399 (outputs/maintenance_scale.csv[slope_linearity_growth_error_per_h]),0.048399,0.048399,PASS,outputs/maintenance_scale.csv[slope_linearity_growth_error_per_h] where glucose_lower_bound_mmol_per_gdcw_h=-1.5; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-07)
number claimed in scripts/maintenance_scale.py:50 = 0.0117 (outputs/maintenance_scale.csv[growth_assay_floor_per_h]),0.0117,0.0117,PASS,outputs/maintenance_scale.csv[growth_assay_floor_per_h] where glucose_lower_bound_mmol_per_gdcw_h=-1.5; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 5e-05)
number claimed in scripts/maintenance_scale.py:53 = 4.39 (outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured]),4.39,4.39,PASS,outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured] where glucose_lower_bound_mmol_per_gdcw_h=-1.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in scripts/maintenance_scale.py:56 = 8.491 (outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured]),8.491,8.491,PASS,outputs/maintenance_scale.csv[penalty_ratio_asserted_over_measured] where glucose_lower_bound_mmol_per_gdcw_h=-1.5; oxygen_lower_bound_mmol_per_gdcw_h=-3.7 (tolerance 0.0005)
number claimed in scripts/maintenance_scale.py:59 = 191.92 (outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h]),191.92,191.92,PASS,outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-1000.0 (tolerance 0.005)
number claimed in scripts/maintenance_scale.py:60 = 25.73 (outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h]),25.73,25.73,PASS,outputs/maintenance_scale.csv[no_growth_ngam_mmol_atp_per_gdw_h] where glucose_lower_bound_mmol_per_gdcw_h=-10.0; oxygen_lower_bound_mmol_per_gdcw_h=-2.0 (tolerance 0.005)
number claimed in scripts/score_phb_environment.py:24 = 6.2309 (outputs/phb_environment_score.csv[q_span_over_all_states]),6.2309,6.2309,PASS,outputs/phb_environment_score.csv[q_span_over_all_states] where state_id=glc_D005 (tolerance 5e-05)
number claimed in scripts/simulate_proteomics_gain.py:29 = 57.81 (outputs/proteomics_gain.csv[error_removed_pct]),57.81,57.81,PASS,outputs/proteomics_gain.csv[error_removed_pct] where protein_assay_cv_log=0.0 (tolerance 0.005)
number claimed in scripts/simulate_proteomics_gain.py:31 = 19.53 (outputs/proteomics_gain.csv[error_removed_pct]),19.53,19.5272,PASS,outputs/proteomics_gain.csv[error_removed_pct] where protein_assay_cv_log=0.15 (tolerance 0.005)
number claimed in scripts/simulate_proteomics_gain.py:33 = 1.4053 (outputs/proteomics_gain.csv[protein_model_fold]),1.4053,1.40528,PASS,outputs/proteomics_gain.csv[protein_model_fold] where protein_assay_cv_log=0.3 (tolerance 5e-05)
number claimed in scripts/simulate_proteomics_gain.py:35 = 1.2515 (outputs/proteomics_gain.csv[mrna_model_fold]),1.2515,1.2515,PASS,outputs/proteomics_gain.csv[mrna_model_fold] where protein_assay_cv_log=0.3 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:268 = 1.3212 (outputs/gem_environment_formulation.csv[ratio_precursor_sink]),1.3212,1.3212,PASS,outputs/gem_environment_formulation.csv[ratio_precursor_sink] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:268 = 1.606 (outputs/gem_environment_formulation.csv[ratio_precursor_sink]),1.606,1.606,PASS,outputs/gem_environment_formulation.csv[ratio_precursor_sink] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.2 (tolerance 0.0005)
number claimed in src/ystwin/pathway/gem_environment.py:269 = 1.4001 (outputs/gem_environment_formulation.csv[ratio_full_pathway]),1.4001,1.4001,PASS,outputs/gem_environment_formulation.csv[ratio_full_pathway] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.05 (tolerance 5e-05)
number claimed in src/ystwin/pathway/gem_environment.py:269 = 1.5818 (outputs/gem_environment_formulation.csv[ratio_full_pathway]),1.5818,1.5818,PASS,outputs/gem_environment_formulation.csv[ratio_full_pathway] where product=phb; supply_mmol_c_per_gdcw_h=20.0; growth_rate_per_h=0.2 (tolerance 5e-05)
