id	abbreviation	name	formula	mass	source	inchikey	charge	is_core	is_obsolete	linked_compound	is_cofactor	deltag	deltagerr	pka	pkb	abstract_compound	comprised_of	aliases	smiles	notes
cpd34914	mesobiliverdin	mesobiliverdin	C33H34N4O6	582.655	Primary Database	COSIETSICFTIJT-BBROENKCSA-L	-2	0	0	null	0	-3.92	8.43	1:35:16.79;1:36:11.56;1:37:10.89;1:39:3.87;1:41:4.46	1:34:5.88;1:42:-2.92;1:43:-3.58	null	null	Name: mesobiliverdin|MetaCyc: CPD-17227	C=CC1=C(C)C(=O)N/C1=C\c1[nH]c(/C=C2\N=C(/C=C3\NC(=O)C(CC)=C3C)C(C)=C2CCC(=O)[O-])c(CCC(=O)[O-])c1C	GC
cpd34915	(4aR,10bS)-noroxomaritidine	(4aR,10bS)-noroxomaritidine	C16H18NO3	271.315	Primary Database	VEXDOCFQMVMPHJ-HZPDHXFCSA-O	1	0	0	null	0	10000000.0	10000000.0	1:7:18.98;1:19:9.81	1:17:7.82;1:18:-5.99;1:19:-5.11;1:20:-5.28	null	null	Name: (4aR,10bS)-noroxomaritidine|MetaCyc: CPD-19435	COc1cc2c(cc1O)C[N@@H+]1CC[C@]23C=CC(=O)C[C@@H]13	GC
cpd34916	L-histidyl-L-prolylamide	L-histidyl-L-prolylamide	C11H18N5O2	252.295	Primary Database	BVQMQRWLLWQCLL-IENPIDJESA-O	1	0	0	null	0	-9.41	1.72	1:13:16.01;1:14:13.09	1:12:7.55;1:15:6.08;1:17:-3.72;1:18:-5.32	null	null	Name: L-histidyl-L-prolylamide|MetaCyc: CPD-20641	NC(=O)C1CCCN1C(=O)[C@@H]([NH3+])Cc1c[nH]cn1	GC
cpd34917	2-hydroxy-5-methyl-1-naphthoate	2-hydroxy-5-methyl-1-naphthoate	C12H9O3	201.201	Primary Database	KKMAZNUSFFWQQY-UHFFFAOYSA-M	-1	0	0	null	0	7.94	1.63	1:13:13.05;1:15:2.34	1:13:-6.31	null	null	Name: 2-hydroxy-5-methyl-1-naphthoate; 2-hydroxy-5-methyl-1-naphthoic acid|MetaCyc: CPD-16911	Cc1cccc2c(C(=O)[O-])c(O)ccc12	GC|EQ|EQU
cpd34918	4-demethyl-7-(3-amino-3-carboxypropyl)wyosine	4-demethyl-7-(3-amino-3-carboxypropyl)wyosine	C17H22N6O7	422.397	Primary Database	LJPGDRLVCXGOBU-CZJKCLCKSA-N	0	0	0	null	0	-129.37	3.66	1:21:10.35;1:24:14.78;1:25:13.89;1:26:12.46;1:29:0.79	1:18:9.49;1:19:1.87;1:20:-1.13;1:21:-8.94;1:24:-2.98;1:25:-3.67;1:26:-3.85	null	null	Name: 4-demethyl-7-(3-amino-3-carboxypropyl)wyosine; yW-86|MetaCyc: CPD-15399	Cc1nc2[nH]c3c(ncn3C3O[C@H](CO)[C@@H](O)[C@H]3O)c(=O)n2c1CCC([NH3+])C(=O)[O-]	GC
cpd34919	pelargonidin 3-O-[2"-O-(xylosyl)] glucoside	pelargonidin 3-O-[2"-O-(xylosyl)] glucoside	C26H28O14	563.491	Primary Database	NKUOSFBSKVBOJC-AOBOYTTNSA-N	0	0	0	null	0	10000000.0	10000000.0	1:28:8.45;1:29:7.54;1:30:6.40;1:31:14.90;1:32:14.13;1:33:13.41;1:34:12.75;1:35:12.12	1:28:-5.58;1:29:-5.87;1:30:-5.97;1:31:-3.53;1:32:-3.67;1:33:-3.65;1:34:-3.69;1:35:-3.95	null	null	Name: pelargonidin 3-O-[2"-O-(xylosyl)] glucoside; pelargonidin 3-O-beta-D-sambubioside; pelargonidin 3-sambubioside|MetaCyc: CPD-18091	[O-]c1cc(O)cc2[o+]c(-c3ccc(O)cc3)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@@H](O)[C@H](O)[C@H]3O)cc12	GC|EQ
cpd34920	tunicamine	tunicamine	C11H22NO9	312.296	Primary Database	VEIVJIBQYGHAIH-AXBJHQMOSA-O	1	0	0	null	0	-105.58	0.61	1:13:14.33;1:14:13.20;1:15:14.82;1:16:12.68;1:17:13.86;1:18:11.83;1:19:11.17	1:12:8.23;1:13:-3.23;1:14:-3.60;1:15:-3.51;1:16:-3.68;1:17:-3.94;1:18:-4.22;1:19:-4.39	null	null	Name: tunicamine|MetaCyc: CPD-19359	[NH3+][C@H]1C(O)O[C@H](CC(O)[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H]1O	GC|EQ|EQU
cpd34921	bacillithiol-fosfomycin	bacillithiol-fosfomycin	C16H27N2O14PS	534.428	Primary Database	FVQZBHDUDWCYPF-LBIGFBRHSA-L	-2	0	0	null	0	-580.95	2.03	1:18:12.06;1:22:4.77;1:23:12.97;1:24:14.37;1:26:3.13;1:28:8.36;1:29:1.51	1:17:7.75;1:23:-3.63;1:24:-3.52	null	null	Name: bacillithiol-fosfomycin|MetaCyc: CPD-17277	CC(O)C(SC[C@H]([NH3+])C(=O)N[C@H]1[C@@H](O[C@@H](CC(=O)[O-])C(=O)[O-])O[C@H](CO)[C@@H](O)[C@@H]1O)P(=O)([O-])O	GC
cpd34922	(S)-albendazole S-oxide	(S)-albendazole S-oxide	C12H15N3O3S	281.329	Primary Database	VXTGHWHFYNYFFV-IBGZPJMESA-N	0	0	0	null	0	10000000.0	10000000.0	1:6:17.11;1:14:8.73;1:15:13.93	1:13:4.00;1:15:-1.86;1:17:-8.80	null	null	Name: (S)-albendazole S-oxide|MetaCyc: CPD-20522	CCC[S@](=O)c1ccc2nc(NC(=O)OC)[nH]c2c1	GC
cpd34923	alpha-ionylideneethanol	alpha-ionylideneethanol	C15H24O	220.354	Primary Database	ZIPASMKGTOANJX-VZTBNBETSA-N	0	0	0	null	0	33.33	1.32	1:16:16.44	1:16:-2.17	null	null	Name: alpha-ionylideneethanol|MetaCyc: CPD-20087	CC1=CCCC(C)(C)[C@H]1/C=C/C(C)=C\CO	GC
