construct	stressor	dose_mM	replicate	od600_mean	od600_half_sd	rfu_mean	rfu_half_sd	per_cell	per_cell_half_sd
NativeYap1	DTT	2.0	1	0.275	0.00748331477354788	1005.0	12.69514342836136	3669.813137537467	143.91654334040678
NativeYap1	DTT	5.0	1	0.2786666666666667	0.0022484562605386647	919.0	8.195527235429498	3297.766934295785	4.734472591917776
AlteredYap1	DTT	0.0	1	0.365	0.003341656275960573	1080.6666666666667	3.9651257511234395	2961.6951738164157	28.543052699605425
AlteredYap1	DTT	0.1	1	0.37433333333333335	0.002867441755680878	1083.6666666666667	18.27718675167367	2895.694689389984	54.987304534118756
AlteredYap1	DTT	0.2	1	0.4000000000000001	0.0014142135623730963	1181.0	32.220593828585265	2951.555354540429	70.93183976626403
AlteredYap1	DTT	0.5	1	0.38033333333333336	0.004169998667732272	1209.0	33.59315406448165	3182.2353948709715	110.74099574111685
AlteredYap1	DTT	1.0	1	0.283	0.00951314879522022	956.3333333333334	13.822284744410222	3394.165615931952	118.9607265291616
AlteredYap1	DTT	2.0	1	0.2913333333333333	0.004552166761249225	899.3333333333334	17.38933261769666	3090.220784876092	79.52090225693992
AlteredYap1	DTT	5.0	1	0.29	0.006531972647421803	904.0	4.546060565661952	3123.1198388687917	67.35181629339208
UPRE1	H2O2	0.0	2	0.5173333333333334	0.0013123346456686365	2691.0	14.704496666741854	5202.09865866654	41.748526327122
UPRE1	H2O2	0.1	2	0.47633333333333333	0.007039570693980965	2353.0	11.834506984051155	4943.5394298794845	66.43147311080355
UPRE1	H2O2	0.2	2	0.48300000000000004	0.007597514213360994	2430.6666666666665	58.10383425864041	5031.269345655307	75.35347350685097
UPRE1	H2O2	0.5	2	0.4306666666666667	0.00902773504263389	2068.0	70.37084307833439	4796.836591854225	62.858295877319605
UPRE1	H2O2	1.0	2	0.20533333333333334	0.004496912521077346	1029.0	22.9939605597257	5013.173355803983	73.33453921560672
UPRE1	H2O2	2.0	2	0.19599999999999998	0.004696334267868456	832.6666666666666	73.38975102530023	4224.487889965779	273.1491910578916
UPRE1	H2O2	4.0	2	0.148	0.004365266951236269	192.33333333333334	1.8708286933869707	1302.6125845629076	26.248727556817254
UPRE2	H2O2	0.0	2	0.4363333333333333	0.008055363982396375	2233.3333333333335	67.77290510717883	5114.516896683358	73.13118473150114
UPRE2	H2O2	0.1	2	0.405	0.0022484562605386755	2175.6666666666665	37.359365923717476	5370.867079355963	66.63637716036561
