construct,dose_mM,elapsed_min,signal
UPRE2,0.0,80.0,3092.028459526078
UPRE2,0.1,80.0,3291.8303148314103
UPRE2,0.2,80.0,3315.470808121672
UPRE2,0.5,80.0,3943.6987037462327
UPRE2,1.0,80.0,4756.468697365341
UPRE2,2.0,80.0,4833.5061164383915
UPRE2,5.0,80.0,4279.917890644535
UPRE2,0.0,90.0,3115.582445063254
UPRE2,0.1,90.0,3338.691547858376
UPRE2,0.2,90.0,3445.0108536980592
UPRE2,0.5,90.0,4079.854760349536
UPRE2,1.0,90.0,5224.940289595462
UPRE2,2.0,90.0,5328.168472776316
UPRE2,5.0,90.0,4763.83809111781
UPRE2,0.0,100.0,3113.3043704170286
UPRE2,0.1,100.0,3391.6999395039325
UPRE2,0.2,100.0,3488.9755639410473
UPRE2,0.5,100.0,4252.187355038665
UPRE2,1.0,100.0,5510.524411762534
UPRE2,2.0,100.0,5637.606467891293
UPRE2,5.0,100.0,5114.490091881431
UPRE2,0.0,110.0,3233.6850837706666
UPRE2,0.1,110.0,3502.277826221229
UPRE2,0.2,110.0,3653.80677722743
UPRE2,0.5,110.0,4462.97616480761
UPRE2,1.0,110.0,6026.147816480162
UPRE2,2.0,110.0,6265.279032710648
UPRE2,5.0,110.0,5454.963820705524
UPRE2,0.0,120.0,3286.0906202105157
UPRE2,0.1,120.0,3524.388967750261
UPRE2,0.2,120.0,3762.54805817417
UPRE2,0.5,120.0,4562.514874707452
UPRE2,1.0,120.0,6423.88183186861
UPRE2,2.0,120.0,6629.317347581503
UPRE2,5.0,120.0,5822.558973600307
UPRE2,0.0,130.0,3323.608466311403
UPRE2,0.1,130.0,3631.2144204238625
UPRE2,0.2,130.0,3815.4253525028203
UPRE2,0.5,130.0,4715.91262381916
UPRE2,1.0,130.0,6772.941340278801
UPRE2,2.0,130.0,7044.019965616132
UPRE2,5.0,130.0,6229.244138910664
UPRE2,0.0,140.0,3421.0241330676695
UPRE2,0.1,140.0,3757.3384664775167
UPRE2,0.2,140.0,3941.066552248642
UPRE2,0.5,140.0,4906.317951253653
UPRE2,1.0,140.0,7068.187811988665
