construct,dose_mM,elapsed_min,signal
NativeYap1,2.0,70.0,-165.589325859099
NativeYap1,4.0,70.0,-358.3388702023012
NativeYap1,0.0,80.0,942.3192861879785
NativeYap1,0.1,80.0,1506.860038110038
NativeYap1,0.2,80.0,1603.6282462428471
NativeYap1,0.5,80.0,1608.1278227673386
NativeYap1,1.0,80.0,898.2211524287262
NativeYap1,2.0,80.0,-378.4936839749674
NativeYap1,4.0,80.0,-694.3224689220114
NativeYap1,0.0,90.0,1078.020878020878
NativeYap1,0.1,90.0,2032.080200501253
NativeYap1,0.2,90.0,1900.2497225305215
NativeYap1,0.5,90.0,2445.7765414072633
NativeYap1,1.0,90.0,1071.5638493437646
NativeYap1,2.0,90.0,-341.36937941285777
NativeYap1,4.0,90.0,-444.5468509984639
NativeYap1,0.0,100.0,1075.5059449712937
NativeYap1,0.1,100.0,2190.190476190476
NativeYap1,0.2,100.0,2517.2384219554033
NativeYap1,0.5,100.0,2563.893248665051
NativeYap1,1.0,100.0,1352.8030814215026
NativeYap1,2.0,100.0,-374.993524993525
NativeYap1,4.0,100.0,-519.8899146600679
NativeYap1,0.0,110.0,1105.6012448561548
NativeYap1,0.1,110.0,1968.1943848610515
NativeYap1,0.2,110.0,2291.8062751635807
NativeYap1,0.5,110.0,2959.476721612222
NativeYap1,1.0,110.0,1654.6575787082118
NativeYap1,2.0,110.0,-321.3677741491158
NativeYap1,4.0,110.0,-523.5803200518866
NativeYap1,0.0,120.0,1094.1446613088403
NativeYap1,0.1,120.0,1893.136208358256
NativeYap1,0.2,120.0,2075.3533534124686
NativeYap1,0.5,120.0,3341.1572558531357
NativeYap1,1.0,120.0,1538.1975330605467
NativeYap1,2.0,120.0,-417.3737139108268
NativeYap1,4.0,120.0,-481.3192407370489
NativeYap1,0.0,130.0,1151.101770402023
NativeYap1,0.1,130.0,1961.020818291311
NativeYap1,0.2,130.0,2225.106367438824
NativeYap1,0.5,130.0,2929.4934699479168
NativeYap1,1.0,130.0,1700.430433763767
NativeYap1,2.0,130.0,-341.6993464052288
NativeYap1,4.0,130.0,-542.9453773402819
NativeYap1,0.0,140.0,1313.362799840287
NativeYap1,0.1,140.0,1926.9414777893787
NativeYap1,0.2,140.0,2311.5444375874335
NativeYap1,0.5,140.0,3375.345208860637
NativeYap1,1.0,140.0,1855.0142804496038
NativeYap1,2.0,140.0,-443.44384707287935
NativeYap1,4.0,140.0,-416.421486954001
NativeYap1,0.0,150.0,1359.265350877193
NativeYap1,0.1,150.0,1932.5785542700398
NativeYap1,0.2,150.0,2284.2099462743604
NativeYap1,0.5,150.0,2847.3261030824265
NativeYap1,1.0,150.0,2102.4899540757747
NativeYap1,2.0,150.0,-526.0507209326107
NativeYap1,4.0,150.0,-570.0678675507052
NativeYap1,0.0,160.0,1374.78573812555
NativeYap1,0.1,160.0,2042.1641154178153
NativeYap1,0.2,160.0,2362.2156189580833
NativeYap1,0.5,160.0,3052.446256486286
NativeYap1,1.0,160.0,2129.8416458305915
NativeYap1,2.0,160.0,-537.6730402305849
NativeYap1,4.0,160.0,-562.6836022931684
NativeYap1,0.0,170.0,1466.4757857105149
NativeYap1,0.1,170.0,2135.83599108143
NativeYap1,0.2,170.0,2457.36193510136
NativeYap1,0.5,170.0,3351.772073325005
NativeYap1,1.0,170.0,2275.7521514629952
