construct,dose_mM,elapsed_min,signal
UPRE2,0.5,130.0,4858.431284691491
UPRE2,1.0,130.0,5897.607821127328
UPRE2,2.0,130.0,6865.00010669398
UPRE2,5.0,130.0,5974.237004192734
UPRE2,0.0,140.0,3648.280708137612
UPRE2,0.1,140.0,3978.9668366023993
UPRE2,0.2,140.0,3801.649462726871
UPRE2,0.5,140.0,5052.168990853202
UPRE2,1.0,140.0,6228.140422338375
UPRE2,2.0,140.0,7250.191014533644
UPRE2,5.0,140.0,6354.909019978145
UPRE2,0.0,150.0,3818.162044935472
UPRE2,0.1,150.0,4022.306858460701
UPRE2,0.2,150.0,4084.03432026695
UPRE2,0.5,150.0,5291.3054008147
UPRE2,1.0,150.0,6608.732179340383
UPRE2,2.0,150.0,7737.119268959694
UPRE2,5.0,150.0,6785.87812286901
UPRE2,0.0,160.0,3899.1114946722423
UPRE2,0.1,160.0,4221.67322078333
UPRE2,0.2,160.0,4143.332572534637
UPRE2,0.5,160.0,5555.398914764909
UPRE2,1.0,160.0,6869.093269934478
UPRE2,2.0,160.0,8189.002724831465
UPRE2,5.0,160.0,7167.185185185185
UPRE2,0.0,170.0,4010.0613874434707
UPRE2,0.1,170.0,4383.65619016164
UPRE2,0.2,170.0,4298.347809216601
UPRE2,0.5,170.0,5695.526665724162
UPRE2,1.0,170.0,7119.694776192245
UPRE2,2.0,170.0,8565.066851387606
UPRE2,5.0,170.0,7523.7151129102995
UPRE2,0.0,180.0,4144.678252487664
UPRE2,0.1,180.0,4514.792304265989
UPRE2,0.2,180.0,4528.152710301302
UPRE2,0.5,180.0,5920.317577634651
UPRE2,1.0,180.0,7346.053988472496
UPRE2,2.0,180.0,8940.68521416644
UPRE2,5.0,180.0,7890.130082478296
UPRE2,0.0,190.0,4276.295822676897
UPRE2,0.1,190.0,4690.705004004237
UPRE2,0.2,190.0,4690.271456938123
UPRE2,0.5,190.0,6068.548006368365
UPRE2,1.0,190.0,7575.200430454668
UPRE2,2.0,190.0,9271.31370998584
UPRE2,5.0,190.0,8170.5597773280215
UPRE2,0.0,200.0,4378.054413983618
UPRE2,0.1,200.0,4862.108051141248
UPRE2,0.2,200.0,4856.262089338254
UPRE2,0.5,200.0,6257.713922083932
UPRE2,1.0,200.0,7793.49444593347
UPRE2,2.0,200.0,9611.873577753779
UPRE2,5.0,200.0,8429.932955649254
UPRE2,0.0,210.0,4466.274362195326
UPRE2,0.1,210.0,4970.143317357227
UPRE2,0.2,210.0,4997.825597997223
UPRE2,0.5,210.0,6425.458435144686
UPRE2,1.0,210.0,7970.684909769528
UPRE2,2.0,210.0,9746.163856049214
UPRE2,5.0,210.0,8579.608241641017
UPRE2,0.0,220.0,4557.178825778727
UPRE2,0.1,220.0,5053.779069767442
UPRE2,0.2,220.0,5128.084630251246
UPRE2,0.5,220.0,6584.6004100961145
UPRE2,1.0,220.0,8147.040828017142
UPRE2,2.0,220.0,10052.230846129753
UPRE2,5.0,220.0,8795.482295482296
UPRE2,0.0,230.0,4677.199257181276
UPRE2,0.1,230.0,5146.7967088766345
UPRE2,0.2,230.0,5252.201995465832
UPRE2,0.5,230.0,6716.517919972823
UPRE2,1.0,230.0,8351.495877525202
UPRE2,2.0,230.0,10224.73151141981
UPRE2,5.0,230.0,9038.229357917628
UPRE2,0.0,240.0,4784.605851640438
UPRE2,0.1,240.0,5266.661589562598
UPRE2,0.2,240.0,5407.236029448985
UPRE2,0.5,240.0,6922.0203554296795
UPRE2,1.0,240.0,8544.92850710131
UPRE2,2.0,240.0,10493.986616209739
UPRE2,5.0,240.0,9185.400399068598
NativeYap1,0.0,0.0,1353.0846228486798
NativeYap1,0.1,0.0,1354.754668575242
NativeYap1,0.2,0.0,1451.591228391668
NativeYap1,0.5,0.0,1454.2651753042846
NativeYap1,1.0,0.0,1190.7977207977208
NativeYap1,2.0,0.0,1050.79680906368
NativeYap1,4.0,0.0,1003.8326224728307
NativeYap1,0.0,10.0,1405.262599225125
NativeYap1,0.1,10.0,1195.4170101378222
NativeYap1,0.2,10.0,1243.168181675391
NativeYap1,0.5,10.0,1453.7585526013684
NativeYap1,1.0,10.0,1074.7297836708387
NativeYap1,2.0,10.0,890.8210395269219
NativeYap1,4.0,10.0,751.4929836668967
NativeYap1,0.0,20.0,1413.1042634711014
NativeYap1,0.1,20.0,1063.8970848577835
NativeYap1,0.2,20.0,1181.9862027719223
NativeYap1,0.5,20.0,1285.0085613100755
NativeYap1,1.0,20.0,1021.5912756789606
NativeYap1,2.0,20.0,569.9228632252757
NativeYap1,4.0,20.0,547.3154349782201
NativeYap1,0.0,30.0,1442.9418857659032
NativeYap1,0.1,30.0,1190.860063513539
NativeYap1,0.2,30.0,1274.6993047450899
NativeYap1,0.5,30.0,1244.486926696352
NativeYap1,1.0,30.0,1008.4978971072951
NativeYap1,2.0,30.0,516.3563988797633
NativeYap1,4.0,30.0,358.721507513778
NativeYap1,0.0,40.0,1415.1639855343558
NativeYap1,0.1,40.0,1654.5072834275518
NativeYap1,0.2,40.0,1520.2042321080444
NativeYap1,0.5,40.0,1601.822390148297
NativeYap1,1.0,40.0,1112.0726495726497
NativeYap1,2.0,40.0,465.94054872770886
NativeYap1,4.0,40.0,319.0566687499202
NativeYap1,0.0,50.0,1465.0557978290299
NativeYap1,0.1,50.0,1787.3629227833026
NativeYap1,0.2,50.0,1753.794768274668
NativeYap1,0.5,50.0,1832.1079813062831
NativeYap1,1.0,50.0,1056.3890854761341
NativeYap1,2.0,50.0,391.1305794485151
NativeYap1,4.0,50.0,260.00538337738936
NativeYap1,0.0,60.0,1451.0771589573494
NativeYap1,0.1,60.0,2004.7016267604504
NativeYap1,0.2,60.0,2019.4765740331698
NativeYap1,0.5,60.0,2008.284664444084
NativeYap1,1.0,60.0,1218.9892279090113
NativeYap1,2.0,60.0,382.94241031429755
NativeYap1,4.0,60.0,296.3213257330904
NativeYap1,0.0,70.0,1465.0028112105356
NativeYap1,0.1,70.0,2089.709973582864
